PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,City,State,Zip
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council/Manhattan,New York,Chinese American Planning Council,212.941.0920,High School,100 Hester Street,New York,New York,10002
Jobs & Internships,In-School Youth Employment (ISY),City As School,New York,"Federation Employment and Guidance Service, Inc.",212.366.8441,High School,16 Clarkson Street,New York,New York,10014
Jobs & Internships,In-School Youth Employment (ISY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,High School,121 6th Avenue,New York,New York,10013
Jobs & Internships,In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,High School,4101 8th Avenue,Brooklyn,New York,11232
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173,High School,43 31 39th Street,Queens,New York,11104
Jobs & Internships,In-School Youth Employment (ISY),"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718.589.1510,High School,997 163rd Street,Bronx,New York,10459
Jobs & Internships,In-School Youth Employment (ISY),Bais Yaakov Academy,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,2 Franklin Street,Brooklyn,New York,11222
Jobs & Internships,In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,High School,4004 4th Avenue,Brooklyn,New York,11232
Jobs & Internships,In-School Youth Employment (ISY),New York City Mission Society,New York,New York City Mission Society,212.979.5764,High School,646 Malcolm X Boulevard,New York,New York,10037
Jobs & Internships,In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,62 04 Myrtle Avenue,Queens,New York,11385
Jobs & Internships,In-School Youth Employment (ISY),Police Athletic League (PAL),Queens,"Police Athletic League, Inc.",212.477.6504,High School,55 Layton Avenue,Queens,New York,10301
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,High School,10 25 41st Avenue,Queens,New York,11101
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,Queens,Queens Child Guidance Center,718.651.7770,High School,133 25 Guy R Brewer Boulevard,Queens,New York,11434
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,High School,158 40 76th Road,Queens,New York,11366
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,715 Ocean Terrace,Staten Island,New York,10301
Jobs & Internships,In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,Brooklyn,Bedford Stuyvesant Restoration Corporation,718.636.6931,High School,1368 Fulton Street,Brooklyn,New York,11216
